Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        8     0.00     0.00  wm_desktop
  0.00      0.01     0.00        7     0.00     0.00  jbwm_get_pixel
  0.00      0.01     0.00        7     0.00     0.00  jbwm_handle_ConfigureRequest
  0.00      0.01     0.00        5     0.00     0.00  check_dimensions
  0.00      0.01     0.00        5     0.00     0.00  get_screen
  0.00      0.01     0.00        5     0.00     0.00  handle_wm_normal_hints
  0.00      0.01     0.00        5     0.00     0.00  init_geometry_for_screen
  0.00      0.01     0.00        5     0.00     0.00  jbwm_handle_MapRequest
  0.00      0.01     0.00        5     0.00     0.00  set_property
  0.00      0.01     0.00        4     0.00     0.00  get_center
  0.00      0.01     0.00        4     0.00     1.11  handle_title_bar_button
  0.00      0.01     0.00        3     0.00     0.00  jbwm_exec
  0.00      0.01     0.00        3     0.00     0.00  jbwm_set_vert
  0.00      0.01     0.00        3     0.00     0.00  set_vert
  0.00      0.01     0.00        2     0.00     0.00  can_resize
  0.00      0.01     0.00        2     0.00     0.00  can_shade
  0.00      0.01     0.00        2     0.00     0.00  center
  0.00      0.01     0.00        2     0.00     0.00  grab_r
  0.00      0.01     0.00        2     0.00     0.00  has_sufficient_size
  0.00      0.01     0.00        2     0.00     0.00  jbwm_client_free
  0.00      0.01     0.00        2     0.00     0.00  jbwm_relink_client_list
  0.00      0.01     0.00        2     0.00     0.00  jbwm_toggle_shade
  0.00      0.01     0.00        2     0.00     0.00  jbwm_toggle_sticky
  0.00      0.01     0.00        2     0.00     0.00  set_name
  0.00      0.01     0.00        2     0.00     0.00  set_supporting
  0.00      0.01     0.00        1     0.00     0.00  allocate_colors
  0.00      0.01     0.00        1     0.00     0.00  get_windows
  0.00      0.01     0.00        1     0.00     0.00  init_desktops
  0.00      0.01     0.00        1     0.00     0.00  init_supporting
  0.00      0.01     0.00        1     0.00    10.00  jbwm_events_loop
  0.00      0.01     0.00        1     0.00     0.00  jbwm_ewmh_init_screen
  0.00      0.01     0.00        1     0.00     0.00  jbwm_get_font
  0.00      0.01     0.00        1     0.00     0.00  jbwm_get_font_height
  0.00      0.01     0.00        1     0.00     0.00  jbwm_grab_root_keys
  0.00      0.01     0.00        1     0.00     0.00  jbwm_init_screens
  0.00      0.01     0.00        1     0.00     0.00  jbwm_open_display
